MATERIAL_GRADE,MATERIAL_NAME,COATING_TYPE,DIMENSION,weight,material,article id,quantity
2nd,C100S,"ungebeizt, nicht geglüht",2.23x1075.0,6341,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.23x1074.0,7413,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.23x1074.0,7251,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.23x1074.0,6729,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.23x1079.0,4163,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.24x1074.0,6086,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.24x1074.0,5235,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.24x1074.0,7019,,,
2nd,C100S,gebeizt und geglüht,2.25x1032.0,6760,,,
2nd,C100S,gebeizt und geglüht,2.251x1031.5,14490,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,9120,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,7138,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,6615,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1038.0,7208,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1038.0,4714,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,7855,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,5452,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,6679,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,9968,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1039.0,4853,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1039.0,9639,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,4578,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,9889,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1038.0,9916,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1038.0,7320,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1036.0,5433,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,4980,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,5664,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,6762,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1038.0,8920,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1038.0,3602,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,8092,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,9800,,,
2nd,C100S,"ungebeizt, nicht geglüht",2.28x1037.0,6050,,,
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52068,48
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52075,48
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52082,48
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52099,48
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52105,48
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52112,48
,,,,1108,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52129,24
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52143,48
,,,,2182,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52150,48
,,,,2184,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52266,48
,,,,2222,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",2304/52136,48
