article id,MATERIAL_NAME,weight,quantity,material,MATERIAL_GRADE,COATING_TYPE,FINISH_TYPE,DIMENSION,ADDITIONAL_SPEC
,C100S,6341,,,2nd,"ungebeizt, nicht geglüht",,2.23x1075.0,
,C100S,7413,,,2nd,"ungebeizt, nicht geglüht",,2.23x1074.0,
,C100S,7251,,,2nd,"ungebeizt, nicht geglüht",,2.23x1074.0,
,C100S,6729,,,2nd,"ungebeizt, nicht geglüht",,2.23x1074.0,
,C100S,4163,,,2nd,"ungebeizt, nicht geglüht",,2.23x1079.0,
,C100S,6086,,,2nd,"ungebeizt, nicht geglüht",,2.24x1074.0,
,C100S,5235,,,2nd,"ungebeizt, nicht geglüht",,2.24x1074.0,
,C100S,7019,,,2nd,"ungebeizt, nicht geglüht",,2.24x1074.0,
,C100S,6760,,,2nd,gebeizt und geglüht,,2.25x1032.0,
,C100S,14490,,,2nd,gebeizt und geglüht,,2.251x1031.5,
,C100S,9120,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,7138,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,6615,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,7208,,,2nd,"ungebeizt, nicht geglüht",,2.28x1038.0,
,C100S,4714,,,2nd,"ungebeizt, nicht geglüht",,2.28x1038.0,
,C100S,7855,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,5452,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,6679,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,9968,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,4853,,,2nd,"ungebeizt, nicht geglüht",,2.28x1039.0,
,C100S,9639,,,2nd,"ungebeizt, nicht geglüht",,2.28x1039.0,
,C100S,4578,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,9889,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,9916,,,2nd,"ungebeizt, nicht geglüht",,2.28x1038.0,
,C100S,7320,,,2nd,"ungebeizt, nicht geglüht",,2.28x1038.0,
,C100S,5433,,,2nd,"ungebeizt, nicht geglüht",,2.28x1036.0,
,C100S,4980,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,5664,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,6762,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,8920,,,2nd,"ungebeizt, nicht geglüht",,2.28x1038.0,
,C100S,3602,,,2nd,"ungebeizt, nicht geglüht",,2.28x1038.0,
,C100S,8092,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,9800,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
,C100S,6050,,,2nd,"ungebeizt, nicht geglüht",,2.28x1037.0,
2304/52068, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52075, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52082, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52099, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52105, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52112, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52129, DX51D,1108,24.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52143, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52150, DX51D,2182,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52266, DX51D,2184,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2304/52136, DX51D,2222,48.0,"DX51D +Z140 Ma-C 1,50 x 1350,00 x 2850,00",, +Z140, Ma-C," 1,50x1350,00x2850,00",
2306/63853, DX51D,23560,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2306/63846, DX51D,23660,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2307/50096, DX51D,20440,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2307/50089, DX51D,20520,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2306/63860, DX51D,22620,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2307/50072, DX51D,20420,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2306/63877, DX51D,13860,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2307/50102, DX51D,19750,,"DX51D +AZ150  Ma-C 1,00 x 1250,00 mm AFP",, +AZ150,,, Ma-C
2210/64638, S235JR,11830,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2208/24752, S235JR,21870,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2110/51990, S235JR,18160,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2201/26092, S235JR,19195,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2207/51058, S235JR,21700,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2207/51065, S235JR,21920,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2203/73939, S235JR,20415,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2109/60576, S235JR,22070,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2208/24769, S235JR,21600,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2201/8128, S235JR,21600,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2207/51041, S235JR,21800,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2203/73892, S235JR,20655,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2110/52027, S235JR,20985,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2203/73915, S235JR,20470,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2110/52010, S235JR,20880,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2203/73922, S235JR,20560,,"S235JR geolied 1,75 x 1250,00 mm",, geolied,," 1,75x1250,00",
2004/25542, DC01,1730,1.0,"DC01 licht geolied 2,50 x 1500 mm",, licht geolied,," 2,50x1500",
2206/27940, S235JR,1700,1.0,"S235JR geolied 2,50 x 1465,00 mm",, geolied,," 2,50x1465,00",
2302/52583, DX51D,2220,1.0,"DX51D +Z100 Ma-C 0,57 x 1250,00 mm",, +Z100, Ma-C,,
2207/53700, DX51D,1450,1.0,"DX51D +Z140 Ma-C 0,75 x 1500,00 mm",, +Z140, Ma-C," 0,75x1500,00",
2207/40892, DX51D,1700,1.0,"DX51D +Z275 Ma-C 0,40 x 1250,00 mm",, +Z275, Ma-C," 0,40x1250,00",
2208/32436, DX51D,13800,1.0,"DX51D +Z275 Ma-C 0,50 x 1250,00 mm",, +Z275, Ma-C," 0,50x1250,00",
2204/31998, S500MC,25100,1.0,"S500MC  Oiled  9,99 * 1500 ",, Oiled,,," 9,99x1500"
2202/55501, S550,10540,1.0,S550 GD+ZM175 MAC 2 x 1070mm,, GD+ZM175, MAC, 2x1070,
2303/42482, S235,22080,1.0,S235  ongeb/ ongeol traan  5 * 1500 ,, ongeb/, ongeol, traan,
2310/46181, DX51D+Z275,2550,1.0,"DX51D+Z275 0,75 * 1250 ",,,," 0,75x1250",
2305/18290, DZ51D+Z275,1620,,"DZ51D+Z275 1,25*1250 ",,,," 1,25x1250",
2401/22326, DD11geolied,1814,25.0,"DD11 geolied 2,00 x 1250,00 x 3500,00",,,," 2,00x1250,00x3500,00",
2310/16948, DX51D,2591,37.0,"DX51D +Z140 Ma-C 4,00 x 775,00 x 2850,00",, +Z140, Ma-C," 4,00x775,00x2850,00",
2310/12230, DX51D,2415,75.0,"DX51D +Z275 Ma-C 0,88 x 1500,00 x 3000,00",, +Z275, Ma-C," 0,88x1500,00x3000,00",
2401/28601, S280GD,1022,32.0,"S280GD +Z275 Ma-C 1,50 x 1250,00 x 2115,00",, +Z275, Ma-C," 1,50x1250,00x2115,00",
2310/39305, S320GD,2022,27.0,"S320GD +Z275 Ma-C 3,00 x 1250,00 x 2500,00",, +Z275, Ma-C," 3,00x1250,00x2500,00",
2311/46386, S320GD,1008,13.0,"S320GD +Z275 Ma-C 3,00 x 1250,00 x 2500,00",, +Z275, Ma-C," 3,00x1250,00x2500,00",
2312/15389, S320GD,2018,27.0,"S320GD +Z275 Ma-C 3,00 x 1250,00 x 2500,00",, +Z275, Ma-C," 3,00x1250,00x2500,00",
2311/34840, S350GD,666,9.0,"S350GD +Z100 Ma-O 2,50 x 1170,00 x 3050,00",, +Z100, Ma-O," 2,50x1170,00x3050,00",
2401/15304, S350GD,1118,10.0,"S350GD +Z275 Ma-C 3,00 x 1500,00 x 3000,00",, +Z275, Ma-C," 3,00x1500,00x3000,00",
2401/36811, DC01,260,1.0,"DC01 licht geolied 1,00 x 96,00 mm",, licht geolied,," 1,00x96,00",
2311/59379,,525,1.0,"DD11 geolied 1,50 x 122,00 mm",,,, DD11geolied,
2401/57274, DD11geolied,248,1.0,"DD11 geolied 2,00 x 92,00 mm",,,," 2,00x92,00",
2305/14209, DD11geolied,450,1.0,"DD11 geolied 2,50 x 106,00 mm",,,," 2,50x106,00",
2312/1924, DX51D,640,1.0,"DX51D +Z140 Ma-C 0,60 x 120,00 mm",, +Z140,, Ma-C,
2312/2013, DX51D,510,1.0,"DX51D +Z140 Ma-C 0,60 x 70,00 mm",, +Z140, Ma-C," 0,60x70,00",
2311/14200, DX51D,320,1.0,"DX51D +Z275 Ma-C 3,00 x 80,00 mm",, +Z275, Ma-C," 3,00x80,00",
2401/39744, DX51D,1635,1.0,"DX51D +Z275 Ma-C 4,00 x 114,00 mm",, +Z275, Ma-C,,
2310/14357, DX51D,605,1.0,"DX51D +Z275 Ma-C 4,00 x 165,00 mm",, +Z275, Ma-C,,
2310/51079, S250GD,770,2.0,"S250GD +Z275 Ma-C 0,40 x 137,00 mm",, +Z275,, Ma-C,
2308/9008, S320GD,405,6.0,"S320GD +Z275 Ma-C 3,00 x 48,00 mm",, +Z275, Ma-C," 3,00x48,00",
2308/9015, S320GD,410,6.0,"S320GD +Z275 Ma-C 3,00 x 48,00 mm",, +Z275, Ma-C," 3,00x48,00",
2306/52468, S250GD,550,3.0,"S250GD +ZM310 Ma-C 1,00 x 182,20 mm",, +ZM310,, Ma-C,
2306/52475, S250GD,550,3.0,"S250GD +ZM310 Ma-C 1,00 x 182,20 mm",, +ZM310,, Ma-C,
2306/52482, S250GD,190,1.0,"S250GD +ZM310 Ma-C 1,00 x 182,20 mm",, +ZM310,, Ma-C,
2303/64064, S350GD,3375,2.0,"S350GD +ZM310 Ma-C 3,00 x 165,00 mm",, +ZM310,, Ma-C,
2303/64071, S350GD,3410,2.0,"S350GD +ZM310 Ma-C 3,00 x 165,00 mm",, +ZM310,, Ma-C,
2303/64088, S350GD,3390,2.0,"S350GD +ZM310 Ma-C 3,00 x 165,00 mm",, +ZM310,, Ma-C,
2302/40764, S350GD,4390,1.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
2302/40849, S350GD,4430,1.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
2307/46143, S350GD,4680,1.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
2302/11771, S350GD,1330,1.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
2303/29834, S350GD,980,2.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
2303/29858, S350GD,980,2.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
2303/29865, S350GD,500,1.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
2311/42746, S350GD,3560,1.0,"S350GD +ZM310 Ma-C 3,50 x 291,00 mm",, +ZM310,, Ma-C,
11006841, HDC,12530,2231027.0,HDC 0.75x1270 GXE G6/6 MB O, GXE, G6/6, MB, 0.75x1270, O
11006841, HDC,12770,2253917.0,HDC 0.75x1270 GXE G6/6 MB O, GXE, G6/6, MB, 0.75x1270, O
11006843, HDC,18620,2141400.0,HDC 0.75x1010 GXES G10/10 MB O, GXES, G10/10, MB, 0.75x1010, O
11006843, HDC,18100,2176549.0,HDC 0.75x1010 GXES G10/10 MB O, GXES, G10/10, MB, 0.75x1010, O
11006915, HDC,11089,2144362.0,HDC 1x1000 HX300LAD+Z 140 MB O, HX300LAD+Z, 140, MB, 1x1000, O
11007024, HRP,11890,2193183.0,HRP 2.2x1200 HE360D O, HE360D,,, 2.2x1200, O
11007031, CR,18400,2376477.0,CR 1.47x1390 X-ES A O, X-ES,, A, 1.47x1390, O
11007136, HDC,11370,2389800.0,HDC 2x1295 D59V G7/7 MB O, D59V, G7/7, MB, 2x1295, O
11007240, HDC,13040,2153593.0,HDC 1x1432 HX380LAD+Z 140 MB O, HX380LAD+Z, 140, MB, 1x1432, O
