2024-08-20 09:54:16,688 - INFO - Created vocabulary
2024-08-20 09:54:16,688 - INFO - Finished initializing nlp object
2024-08-20 09:54:17,911 - INFO - Iteration 1, Losses: {'ner': 2079.5225416868925}
2024-08-20 09:54:19,058 - INFO - Iteration 2, Losses: {'ner': 1606.6969683631323}
2024-08-20 09:54:20,146 - INFO - Iteration 3, Losses: {'ner': 470.32541873984314}
2024-08-20 09:54:21,259 - INFO - Iteration 4, Losses: {'ner': 246.32731716125312}
2024-08-20 09:54:22,621 - INFO - Iteration 5, Losses: {'ner': 181.18872098573814}
2024-08-20 09:54:23,857 - INFO - Iteration 6, Losses: {'ner': 57.13855889257337}
2024-08-20 09:54:25,078 - INFO - Iteration 7, Losses: {'ner': 28.805351824253336}
2024-08-20 09:54:26,126 - INFO - Iteration 8, Losses: {'ner': 49.39459215940727}
2024-08-20 09:54:27,159 - INFO - Iteration 9, Losses: {'ner': 63.71359820780117}
2024-08-20 09:54:28,193 - INFO - Iteration 10, Losses: {'ner': 14.52176520401581}
2024-08-20 09:54:29,211 - INFO - Iteration 11, Losses: {'ner': 9.8650049310098}
2024-08-20 09:54:30,259 - INFO - Iteration 12, Losses: {'ner': 32.4089367513697}
2024-08-20 09:54:31,259 - INFO - Iteration 13, Losses: {'ner': 4.945508480408706}
2024-08-20 09:54:32,230 - INFO - Iteration 14, Losses: {'ner': 3.1545336648170617}
2024-08-20 09:54:33,298 - INFO - Iteration 15, Losses: {'ner': 1.7618926045988696}
2024-08-20 09:54:34,393 - INFO - Iteration 16, Losses: {'ner': 1.8843406851558244}
2024-08-20 09:54:35,377 - INFO - Iteration 17, Losses: {'ner': 4.687501734244593}
2024-08-20 09:54:36,364 - INFO - Iteration 18, Losses: {'ner': 1.338424495600752}
2024-08-20 09:54:37,352 - INFO - Iteration 19, Losses: {'ner': 4.012300622311257}
2024-08-20 09:54:38,415 - INFO - Iteration 20, Losses: {'ner': 0.6883226642740354}
2024-08-20 09:54:39,478 - INFO - Iteration 21, Losses: {'ner': 0.7362837267571067}
2024-08-20 09:54:40,572 - INFO - Iteration 22, Losses: {'ner': 0.0015999966911234072}
2024-08-20 09:54:41,637 - INFO - Iteration 23, Losses: {'ner': 0.1800390701493548}
2024-08-20 09:54:42,701 - INFO - Iteration 24, Losses: {'ner': 0.0004361273221403901}
2024-08-20 09:54:43,797 - INFO - Iteration 25, Losses: {'ner': 3.670067296087891e-05}
2024-08-20 09:54:44,972 - INFO - Iteration 26, Losses: {'ner': 1.6492435219001222}
2024-08-20 09:54:46,145 - INFO - Iteration 27, Losses: {'ner': 0.20063968465157095}
2024-08-20 09:54:47,240 - INFO - Iteration 28, Losses: {'ner': 0.003279011155661268}
2024-08-20 09:54:48,398 - INFO - Iteration 29, Losses: {'ner': 0.029150967901936616}
2024-08-20 09:54:49,571 - INFO - Iteration 30, Losses: {'ner': 0.04917615638590874}
2024-08-20 09:54:50,698 - INFO - Iteration 31, Losses: {'ner': 0.020334145512356176}
2024-08-20 09:54:51,866 - INFO - Iteration 32, Losses: {'ner': 0.20157942159173423}
2024-08-20 09:54:53,168 - INFO - Iteration 33, Losses: {'ner': 1.4744170998178032}
2024-08-20 09:54:54,321 - INFO - Iteration 34, Losses: {'ner': 1.064878717427916e-05}
2024-08-20 09:54:55,376 - INFO - Iteration 35, Losses: {'ner': 0.0046394655374618335}
2024-08-20 09:54:56,549 - INFO - Iteration 36, Losses: {'ner': 0.025172123087242503}
2024-08-20 09:54:57,814 - INFO - Iteration 37, Losses: {'ner': 1.995335999791957}
2024-08-20 09:54:59,003 - INFO - Iteration 38, Losses: {'ner': 0.000446828595596444}
2024-08-20 09:55:00,146 - INFO - Iteration 39, Losses: {'ner': 3.0774846983901056e-06}
2024-08-20 09:55:01,524 - INFO - Iteration 40, Losses: {'ner': 0.9136658933891113}
